Valor,Saldo_Anterior,Mudanca_Dispositivo,Horario,Novo_Destino,Fraude
9419.33,24302.6,0,15,0,0
3249.33,16201.44,0,15,0,0
6145.01,13344.75,0,9,0,0
6963.25,25513.01,1,2,1,1
7225.45,13753.69,1,23,1,1
2611.33,6852.13,0,13,0,0
1342.63,6372.46,0,14,0,0
4163.8,22021.97,0,20,0,0
1878.56,17290.93,0,12,0,0
8507.65,12027.06,0,6,1,1
7697.23,24285.49,0,2,1,1
6353.19,18805.28,0,18,0,0
6975.22,24666.21,1,13,0,0
721.17,16350.44,1,3,1,1
5711.65,14462.07,0,11,0,0
5378.58,21039.58,1,22,0,1
3387.7,5134.06,1,13,0,0
8719.12,24852.84,1,2,1,1
9133.27,18380.6,1,23,1,1
8326.1,17347.65,0,4,0,1
3193.84,20122.14,0,9,0,0
5170.56,11193.8,0,1,1,1
8731.44,12539.0,0,16,0,0
2708.26,8597.31,0,13,0,0
5031.34,14560.16,0,23,1,1
42.15,19180.89,1,22,0,1
5418.66,20685.93,1,3,1,1
1655.42,4504.11,1,22,1,1
8903.68,27956.18,0,3,1,1
1568.63,5658.07,1,3,1,1
6061.69,12152.51,1,4,1,1
6252.91,20930.31,0,20,0,0
3663.5,14641.83,0,8,0,0
2491.48,3028.69,0,13,1,0
6226.91,23443.31,0,10,0,0
5710.39,8506.03,1,2,0,1
718.61,5466.6,0,0,1,1
4969.65,12130.8,0,0,1,1
5238.06,11550.64,1,2,1,1
5755.59,7340.61,0,16,0,0
2402.01,14823.77,0,19,0,0
3467.54,11581.34,1,0,1,1
9025.51,12031.33,1,1,1,1
7806.59,14818.76,0,20,0,0
9590.08,18595.34,0,18,0,0
7997.95,27452.48,0,9,0,0
7836.85,19640.24,0,18,0,0
4671.94,12376.61,0,15,0,0
2022.21,21066.37,0,9,0,0
309.44,11283.96,0,22,0,1
5827.79,21866.45,1,19,0,0
9454.21,14457.0,0,9,0,0
3053.74,22965.56,0,5,1,1
3355.71,5788.07,0,0,1,1
7438.5,7550.4,1,4,0,1
2096.99,21998.46,0,13,1,0
7526.09,15485.8,0,8,0,0
6015.14,22969.82,1,4,1,1
9133.74,16827.91,1,5,1,1
7022.65,15988.93,1,1,1,1
8871.99,24374.42,0,2,1,1
6173.1,10998.92,1,1,1,1
7027.82,11941.5,1,22,0,1
2027.36,17164.03,0,13,0,0
8870.38,25406.43,0,0,1,1
1947.31,19679.72,0,15,1,0
645.77,4524.29,0,3,1,1
1172.5,7539.38,0,3,1,1
6572.98,18814.13,1,0,1,1
770.55,10544.55,1,1,1,1
3712.72,18029.76,1,22,1,1
2527.54,8957.26,0,13,1,0
1284.53,14306.04,1,3,0,1
6673.03,17844.82,0,11,1,0
6110.09,16272.21,1,2,0,1
6729.3,8503.44,1,23,1,1
7371.37,19296.78,1,0,1,1
7297.8,21089.82,0,10,1,0
5213.12,17177.36,0,18,0,0
8103.03,13669.64,1,5,0,1
7989.15,9803.18,1,1,0,1
4049.26,16709.45,0,19,0,0
5625.82,7210.62,0,14,0,0
9296.0,11735.27,0,23,1,1
7584.8,13370.38,1,4,1,1
56.27,1478.89,0,4,1,1
9872.89,11333.12,1,22,1,1
1725.08,15902.28,1,23,1,1
2410.24,7915.81,0,8,0,0
8804.89,22153.76,0,20,1,0
818.38,12514.4,1,3,1,1
8775.95,10292.0,1,3,1,1
5396.22,12669.66,1,3,1,1
181.35,13729.47,0,17,0,0
3561.38,18161.64,1,0,1,1
434.82,13053.11,0,10,0,0
4661.66,16387.61,0,8,0,0
9698.51,22331.94,0,22,1,1
8324.3,12043.73,0,17,0,0
8265.89,25561.79,0,14,0,0
7637.88,18245.75,0,11,0,0
7143.19,12993.66,0,6,0,1
9384.4,25100.58,0,12,0,0
8001.48,9487.24,0,9,0,0
5038.75,20752.37,0,10,0,0
8447.05,23656.97,1,4,0,1
6182.29,22897.74,0,4,1,1
6570.74,6721.56,0,9,0,0
9550.73,27415.02,0,13,0,0
2471.56,3203.26,1,4,1,1
3776.58,6099.96,0,8,1,0
1156.54,6893.9,1,23,1,1
583.66,11188.36,1,19,0,0
5849.37,12574.1,0,13,0,0
2428.13,10816.57,0,0,0,1
7856.36,19810.66,0,14,0,0
6522.34,16535.49,1,17,0,0
8999.34,26941.18,0,6,0,1
9966.4,25010.1,1,1,1,1
1051.21,1290.16,1,0,0,1
2781.04,13879.91,1,4,1,1
4443.16,7883.01,0,10,0,0
7944.03,14319.77,0,0,1,1
719.37,19796.66,1,22,1,1
1428.3,18173.5,1,5,0,1
6774.86,19834.33,0,11,1,0
8449.38,9655.93,1,6,1,1
9710.87,11820.33,1,0,0,1
3871.54,16875.98,1,3,1,1
4640.31,12592.3,0,3,0,1
2492.65,4420.13,0,13,0,0
166.79,12821.91,0,20,0,0
1089.18,3626.89,1,6,0,1
7444.77,27118.23,0,12,0,0
8863.1,17230.42,1,5,0,1
1911.13,7844.06,0,18,0,0
8487.79,20328.34,0,9,0,0
1274.3,17535.12,0,16,0,0
6845.49,21938.71,1,4,0,1
4330.65,8335.94,0,4,0,1
2989.59,14243.3,0,16,0,0
2630.02,18705.96,0,0,1,1
1867.66,11345.28,0,16,0,0
7967.41,25889.11,1,2,1,1
5112.37,12926.58,1,2,1,1
2307.79,8900.24,1,6,1,1
4013.48,10597.61,1,8,1,0
3646.99,14304.06,0,18,0,0
3992.64,14041.82,0,4,1,1
6210.4,15914.16,1,4,1,1
3819.29,21181.56,0,16,0,0
3038.25,3138.86,1,5,0,1
330.32,20078.48,0,20,0,0
5754.5,14535.03,0,17,0,0
9271.08,13947.96,0,6,1,1
6503.14,9901.56,1,6,0,1
1519.07,18227.05,0,22,0,1
8241.61,25628.34,0,14,0,0
1601.48,18998.05,0,10,0,0
4598.59,8073.35,0,12,0,0
5215.81,9859.19,0,16,0,0
8669.2,15473.15,0,8,0,0
6590.35,10503.05,1,4,1,1
5039.14,16869.27,0,22,1,1
6808.19,8479.08,0,23,0,1
610.82,11167.68,1,6,1,1
1292.66,10915.37,1,1,1,1
1261.42,5960.24,0,12,0,0
2414.52,9541.27,1,5,0,1
8680.5,11176.21,1,4,0,1
8157.37,21372.15,0,15,0,0
2292.26,18782.37,1,0,1,1
8023.76,20838.78,0,12,0,0
6033.4,14566.43,1,23,1,1
1637.71,20010.67,1,1,0,1
453.0,4124.94,0,16,1,0
5249.87,8543.08,0,23,1,1
1878.48,2188.76,0,20,0,0
6619.03,16911.7,0,12,0,0
9224.03,21696.39,0,15,0,0
3116.71,14875.42,1,0,1,1
2976.98,8356.98,0,14,0,0
1415.71,8266.6,1,0,1,1
5913.02,12294.0,0,2,0,1
3216.52,19944.46,1,20,0,0
1731.48,3859.15,1,3,1,1
1705.88,15286.9,1,4,1,1
1826.43,14395.62,0,2,1,1
1141.25,10479.6,1,4,1,1
1484.88,12596.4,0,9,0,0
3506.48,16851.05,0,20,0,0
2872.55,21906.0,0,22,1,1
1497.08,12471.77,1,13,0,0
6338.45,23640.67,1,4,1,1
4921.55,12585.88,0,12,0,0
91.93,15998.12,0,18,0,0
8287.78,23956.47,0,13,0,0
1997.51,5448.95,1,8,0,0
7259.94,8391.47,1,0,1,1
4944.29,10877.79,1,19,1,0
8942.97,9597.23,1,3,0,1
9766.39,20069.39,0,18,0,0
8943.44,13913.66,0,12,0,0
2295.69,16464.52,1,6,1,1
6605.37,19329.21,1,0,1,1
4620.16,8875.9,0,3,1,1
1147.25,6161.78,1,0,0,1
3616.13,16831.13,1,2,0,1
5933.58,10638.05,1,23,0,1
3363.58,21080.71,1,15,0,0
1549.91,17804.86,1,5,1,1
6010.67,23906.9,0,17,0,0
819.65,10040.29,1,2,1,1
7557.96,13153.73,1,23,1,1
3789.77,14077.29,0,12,0,0
3556.41,7131.89,1,4,0,1
4778.0,22040.11,0,13,0,0
8023.42,22481.55,0,15,0,0
4047.36,18265.19,1,4,1,1
5722.01,23056.12,1,22,1,1
5837.85,25410.51,1,23,1,1
6900.98,16485.46,0,16,0,0
218.85,11160.69,0,13,0,0
1491.95,6883.93,1,6,0,1
9800.53,27472.11,0,0,1,1
4157.29,17973.85,0,9,0,0
2938.55,19464.32,1,23,1,1
3561.06,21118.94,0,14,0,0
4567.8,12177.33,0,22,1,1
2082.7,21647.95,0,13,0,0
3761.32,16354.21,0,12,1,0
1731.56,17894.12,0,17,0,0
1289.18,12989.41,0,6,0,1
2081.91,13160.92,0,19,0,0
2164.59,3271.98,1,0,0,1
1409.44,14064.78,0,6,1,1
7380.97,13277.99,0,9,0,0
9877.35,27678.78,0,0,1,1
857.53,6237.52,0,22,0,1
4309.97,19893.09,1,22,1,1
1611.33,7900.29,0,8,0,0
8975.1,23974.7,0,8,1,0
1895.7,13576.71,0,10,0,0
6633.91,12338.75,1,11,0,0
1026.81,2244.71,1,6,1,1
3045.5,6928.2,0,13,0,0
1570.21,8182.99,0,17,0,0
393.88,3730.83,1,23,1,1
3754.96,17808.24,1,1,1,1
266.16,15493.36,1,2,1,1
9091.23,22640.11,0,22,1,1
5030.64,22500.54,1,22,0,1
736.9,16371.47,1,0,1,1
9256.43,10723.83,0,23,1,1
2942.98,16567.42,1,5,1,1
1343.36,17257.48,0,16,0,0
6349.36,16945.17,0,10,0,0
9500.11,19402.23,1,3,0,1
3601.32,13663.33,1,5,1,1
2030.86,7231.48,0,19,1,0
1850.41,11625.27,1,3,1,1
9015.63,18475.2,1,8,0,0
8724.03,12946.94,1,19,0,0
504.36,18073.46,0,12,0,0
7311.37,21986.15,1,1,1,1
3125.78,14625.81,0,19,0,0
7502.4,21368.14,0,8,1,0
1690.23,20950.68,0,16,0,0
3015.77,15934.34,1,4,1,1
8056.68,11237.42,0,18,0,0
3451.69,16635.41,0,17,0,0
3233.45,6135.75,0,17,0,0
7022.52,11606.72,0,18,0,0
4112.66,6957.33,0,8,0,0
698.89,3449.21,1,2,1,1
3353.23,22483.03,0,20,0,0
9149.31,27323.06,1,1,0,1
6432.39,25664.58,1,1,1,1
5118.31,16095.2,0,4,1,1
9358.65,18904.1,0,19,0,0
2209.63,9298.9,1,1,1,1
7269.44,17575.65,1,23,1,1
9733.07,27477.8,0,8,0,0
2260.92,3984.26,1,1,1,1
6326.74,23941.86,1,3,1,1
1876.62,6872.72,1,20,0,0
3699.52,9338.23,0,15,0,0
8709.62,26336.62,0,13,0,0
5404.72,16984.66,1,23,1,1
4875.75,16487.75,1,23,1,1
1433.53,14608.44,1,5,1,1
7124.67,7251.61,1,6,1,1
6189.93,6896.16,1,23,1,1
9362.19,18814.96,1,22,1,1
6082.97,13686.34,0,3,1,1
2474.32,3543.35,1,23,1,1
5724.77,7228.43,0,1,1,1
3806.27,19930.17,0,17,0,0
8203.99,19465.77,0,8,0,0
7917.87,14491.24,1,1,0,1
9825.82,14706.71,0,14,0,0
5190.13,21634.25,0,12,0,0
4839.24,19428.76,1,4,1,1
9389.53,22072.75,0,14,0,0
1739.42,19479.11,0,18,0,0
6791.68,21466.34,0,17,0,0
295.66,12582.48,0,17,0,0
8118.72,24464.49,0,15,0,0
5655.87,18635.33,0,15,0,0
4104.95,14545.22,0,2,0,1
6787.9,25693.84,0,15,0,0
5746.54,8317.72,0,18,0,0
1261.76,14575.28,0,17,0,0
9553.31,19391.44,0,10,0,0
7223.49,17067.41,0,4,1,1
6337.67,20390.35,1,23,1,1
4528.66,9660.54,1,2,1,1
2303.58,4526.02,0,14,0,0
9362.76,28135.24,0,0,1,1
5589.11,17794.88,1,16,0,0
7000.07,18024.67,0,10,0,0
356.36,2657.37,0,6,0,1
1929.37,9714.49,0,20,0,0
9624.85,15656.09,1,23,0,1
2927.54,22537.21,0,10,1,0
6009.16,15158.97,1,22,1,1
217.21,19650.48,0,16,0,0
8675.56,16125.83,0,13,1,0
3914.85,5533.93,0,20,0,0
7762.46,19672.83,0,9,0,0
5718.67,21993.86,0,13,0,0
8981.56,19172.05,1,22,1,1
4412.13,13223.88,0,14,0,0
9974.18,18107.74,1,18,0,0
2970.12,9316.24,1,0,1,1
8589.17,13661.31,0,12,1,0
5541.51,15317.03,1,10,0,0
5661.66,15041.02,1,0,0,1
5720.41,12922.44,0,3,1,1
6153.98,19631.77,0,22,1,1
9650.62,9790.26,0,6,1,1
3994.24,9430.91,1,5,1,1
3146.53,18050.24,1,2,1,1
1718.89,16039.1,0,20,0,0
2610.27,10056.08,1,5,0,1
5110.05,16698.45,0,13,0,0
3253.51,12149.98,1,2,1,1
6249.61,24776.84,0,19,0,0
9726.1,27118.65,0,11,0,0
5792.94,7695.64,0,8,0,0
9344.33,16857.74,1,2,1,1
3885.11,19839.11,0,10,0,0
3901.64,5737.4,0,8,0,0
8566.33,13450.27,0,5,1,1
5656.47,20238.81,0,18,0,0
5687.4,21373.05,1,0,1,1
9080.55,12051.19,0,17,0,0
1869.15,5182.16,1,2,1,1
7807.45,23138.18,1,6,0,1
9866.53,21937.45,1,2,1,1
3102.18,8186.49,1,23,0,1
3670.95,22285.88,1,4,1,1
6774.83,8488.51,0,12,0,0
4814.92,6844.54,1,3,1,1
8299.12,28212.18,1,4,1,1
325.55,6323.07,1,4,0,1
9682.67,29012.71,0,12,0,0
3669.95,10908.39,0,3,1,1
4314.57,7328.65,1,4,0,1
6927.44,21637.05,0,22,1,1
2483.11,13918.75,0,19,0,0
9905.15,16615.75,1,23,1,1
2866.42,21380.74,0,15,0,0
4730.58,8135.26,0,20,0,0
7724.73,15886.27,1,4,0,1
741.23,1861.98,1,23,0,1
2728.73,20360.09,1,2,1,1
8070.28,24803.22,1,22,1,1
6671.69,10649.58,0,15,1,0
5256.93,20421.87,0,20,0,0
6852.52,14694.24,0,13,0,0
4203.08,11716.01,1,0,1,1
6121.09,8119.54,1,4,0,1
6962.03,14429.65,1,4,1,1
6768.37,15218.95,1,5,1,1
6837.33,15674.49,0,9,0,0
5334.25,6815.19,0,0,0,1
486.35,13466.71,0,16,0,0
8338.16,15666.94,1,0,1,1
6888.95,23361.56,0,20,0,0
4566.11,9545.98,0,19,0,0
7298.77,19443.06,0,20,0,0
9278.25,14923.25,1,4,1,1
8512.86,13784.97,1,5,1,1
5838.08,13655.82,1,3,1,1
2733.51,22585.89,0,1,1,1
9588.39,20101.23,1,10,0,0
7826.03,15839.95,1,5,1,1
6800.61,23899.12,0,12,0,0
527.72,10640.06,0,5,1,1
4503.35,5735.29,1,5,1,1
6506.75,12642.14,0,23,0,1
4406.9,16243.03,0,16,0,0
6262.65,13181.29,1,3,1,1
5805.06,7636.7,1,5,1,1
3470.0,19549.74,1,0,1,1
3079.83,6290.54,1,22,1,1
2383.06,3878.21,1,6,0,1
6546.38,11592.32,1,5,1,1
5928.22,6204.6,1,4,1,1
6506.57,24353.23,0,19,0,0
9694.43,28860.98,1,3,0,1
6641.41,23541.24,1,23,1,1
1666.09,4826.39,1,22,1,1
3637.19,5010.92,0,1,1,1
8303.9,26077.45,0,22,1,1
6549.77,12557.92,0,17,1,0
1363.23,4993.74,0,13,0,0
6074.87,21469.64,1,4,1,1
9507.37,20972.11,0,16,0,0
6592.27,7476.17,0,22,0,1
5332.92,5764.05,0,10,0,0
1379.73,20769.23,0,0,1,1
9769.54,22769.1,0,9,0,0
8133.05,15265.68,0,8,1,0
5600.55,16714.1,0,20,0,0
9880.99,14725.62,0,17,1,0
6122.41,20003.81,1,5,1,1
1651.28,12492.79,0,10,0,0
2164.71,20326.73,0,17,0,0
9634.31,26881.44,0,2,1,1
8855.22,19936.24,0,15,0,0
3898.12,23362.38,1,2,1,1
573.19,14035.63,0,1,1,1
4211.7,10602.12,0,8,0,0
4154.05,23048.58,1,5,1,1
8901.15,9995.73,1,0,0,1
507.5,8110.52,1,17,0,0
4650.69,21585.87,0,20,0,0
1416.88,21303.44,0,15,0,0
8160.17,19628.25,1,2,0,1
3001.13,12182.46,0,12,0,0
8259.91,18506.0,0,2,1,1
4566.14,24402.92,0,18,1,0
4344.18,23367.66,1,22,0,1
3065.52,9255.22,0,16,0,0
1889.33,9880.75,1,4,1,1
7625.23,9771.92,0,8,0,0
1100.8,18166.01,0,13,0,0
1548.03,8860.03,0,14,0,0
5960.43,19465.97,0,2,0,1
8809.9,19070.46,0,6,0,1
3531.66,16183.65,0,11,0,0
7025.57,17310.0,0,6,0,1
3489.07,17041.99,1,6,1,1
6743.49,26031.51,0,12,0,0
547.23,11831.32,0,11,0,0
8953.12,25430.5,0,4,1,1
6658.07,12778.35,0,15,0,0
6379.89,13404.11,0,19,0,0
1873.93,14536.25,0,13,0,0
2454.57,3741.36,0,9,0,0
9506.57,24120.53,0,5,0,1
396.27,5390.42,1,12,0,0
6977.23,11641.61,0,3,1,1
118.27,4718.16,1,3,0,1
7520.82,24138.15,0,13,0,0
6698.11,13627.32,0,16,0,0
9818.95,20682.06,0,11,0,0
7617.8,26248.61,1,9,0,0
9244.48,12481.93,0,19,0,0
8912.52,23627.95,0,3,1,1
2389.45,13580.46,1,5,1,1
1476.34,1707.53,0,17,0,0
4678.29,18656.3,0,11,0,0
585.01,8066.74,1,23,1,1
3337.4,16917.17,0,10,0,0
6171.21,20072.14,0,20,0,0
1615.21,3812.54,1,0,1,1
8968.69,14247.4,1,2,0,1
1190.47,7888.61,1,5,0,1
8700.99,17690.85,1,5,1,1
3876.12,11989.88,0,16,0,0
3207.3,13705.25,1,4,1,1
25.64,3460.21,1,6,1,1
5262.54,6968.93,0,15,0,0
375.13,14328.64,0,1,0,1
7733.75,10245.7,0,19,0,0
6782.33,11926.37,0,15,0,0
2531.57,8931.8,0,9,1,0
3231.19,3399.77,0,14,1,0
1321.14,14625.26,1,1,1,1
3889.09,11498.32,0,11,0,0
3308.82,9425.96,0,19,0,0
1592.15,20050.75,0,9,1,0
5991.36,22071.45,0,14,1,0
3413.36,6472.27,0,19,0,0
286.62,14387.96,0,13,0,0
8307.89,11697.05,1,6,1,1
5703.2,7177.21,1,5,0,1
8039.57,10908.75,0,18,0,0
46.09,3590.47,0,10,0,0
8070.65,14056.4,0,11,0,0
9173.04,13651.24,0,9,0,0
6925.84,26396.15,0,3,1,1
6952.56,13136.86,1,0,0,1
5421.63,14152.15,0,0,1,1
2084.76,15433.56,0,8,0,0
4145.87,4967.71,0,16,0,0
1323.94,4185.26,0,10,0,0
2589.86,21490.11,1,1,0,1
7956.55,20667.41,1,3,1,1
6559.1,13651.82,0,12,0,0
8005.56,9108.85,1,6,1,1
4335.72,16381.5,0,15,0,0
2204.25,13357.53,0,10,0,0
9647.88,14651.92,0,8,0,0
5917.67,12514.96,0,10,0,0
1513.9,4968.68,0,19,0,0
557.07,16666.51,0,3,0,1
5183.24,12814.89,1,12,0,0
2160.58,8340.65,0,15,0,0
7429.64,10737.89,1,0,1,1
9510.27,11006.49,1,18,0,0
441.31,2135.41,1,5,1,1
8051.02,17265.79,0,0,1,1
6957.72,16013.89,1,22,1,1
1030.7,5139.43,0,18,0,0
2816.54,10933.72,1,3,1,1
7694.54,8596.22,1,5,1,1
4132.05,18035.05,1,0,1,1
3124.1,13329.42,1,3,1,1
7428.59,7766.16,0,8,0,0
6911.17,9453.01,0,15,0,0
6423.3,12014.16,0,0,1,1
5067.33,7758.76,0,9,0,0
2647.03,20958.34,0,8,0,0
7004.6,7707.9,0,15,0,0
300.72,4933.15,0,17,0,0
3695.45,15869.41,1,23,1,1
8065.97,25673.04,1,3,1,1
2773.46,9190.04,0,16,0,0
4843.77,12644.13,0,20,0,0
5417.25,13319.91,0,4,0,1
4224.06,21999.07,1,0,1,1
1402.64,8400.85,0,19,0,0
6835.65,11588.53,1,22,0,1
9108.59,22118.66,1,22,1,1
8680.96,12013.73,1,11,0,0
1560.85,8118.63,1,2,1,1
2142.71,4698.51,0,19,0,0
7532.57,24051.89,0,12,0,0
9567.71,24821.28,0,9,0,0
3099.39,17614.59,0,11,0,0
8858.76,11446.48,0,15,0,0
2428.03,18865.55,0,6,1,1
6379.2,20063.28,0,5,1,1
7190.95,14333.78,0,19,0,0
811.28,15175.13,1,12,0,0
1944.4,17582.47,0,10,0,0
7664.57,9447.03,0,11,0,0
8556.05,28421.82,0,5,0,1
5523.55,10967.37,1,1,1,1
4661.53,18663.1,0,9,0,0
4428.82,4893.33,0,14,0,0
6996.72,23467.58,0,11,0,0
4888.66,16223.88,0,20,0,0
2517.16,4364.15,1,4,0,1
5891.43,20543.32,1,23,1,1
5780.16,20709.93,1,2,1,1
3812.43,7432.68,1,23,1,1
2314.39,12157.92,1,22,0,1
9008.01,16165.87,1,23,1,1
9765.67,25160.74,0,10,0,0
7149.62,18199.88,0,11,0,0
6963.34,24777.15,1,3,1,1
2322.86,10389.05,0,18,0,0
59.35,12169.57,1,6,1,1
5735.62,15296.03,1,17,0,0
6205.12,22225.19,0,0,1,1
8702.29,14820.44,1,22,0,1
2587.18,18853.05,0,17,0,0
5129.9,10945.6,1,2,0,1
4716.97,18847.28,1,0,1,1
4400.72,6650.81,1,22,1,1
8738.35,13348.63,0,9,0,0
9381.35,24127.64,0,8,0,0
2624.44,14650.5,1,6,1,1
6012.42,14748.61,0,18,1,0
1523.31,4461.91,0,12,1,0
9118.8,16608.92,0,10,0,0
4203.27,12636.48,0,19,0,0
7149.77,25831.28,0,10,0,0
2816.82,12962.25,1,22,1,1
4229.06,23434.39,0,14,0,0
1005.62,16810.31,0,20,0,0
6060.48,24491.31,0,13,0,0
9370.21,9726.87,1,0,0,1
1732.77,9909.78,0,11,0,0
2855.56,3914.46,1,3,1,1
206.13,15548.7,0,10,1,0
2959.52,14322.82,1,17,0,0
9807.59,26140.92,1,22,0,1
367.03,12202.81,0,11,0,0
9085.42,10691.84,0,0,0,1
8995.27,17785.73,0,19,0,0
3288.65,10039.09,1,0,1,1
7929.08,18322.86,0,12,0,0
6678.82,9285.33,1,4,0,1
2806.54,7325.85,1,2,0,1
4075.01,4976.14,1,23,0,1
8686.36,25151.94,0,10,1,0
3391.47,6763.01,1,16,1,0
3349.1,6507.55,1,4,0,1
5660.67,16346.93,0,20,1,0
8019.26,15034.88,1,4,1,1
9632.59,19608.14,1,23,0,1
9316.97,20874.17,0,9,0,0
9559.63,14176.5,1,6,0,1
2063.99,16438.43,1,9,0,0
3916.9,18573.48,0,5,1,1
1320.25,2764.06,0,10,0,0
85.55,5356.13,1,0,1,1
7714.82,13593.0,0,11,0,0
639.54,18828.6,0,8,0,0
4184.04,8320.57,0,19,1,0
5668.38,22431.98,0,0,0,1
6133.27,22677.45,1,3,0,1
8888.59,22376.61,1,4,1,1
1624.67,4223.12,1,5,1,1
1315.22,3871.87,0,4,1,1
1014.56,14242.93,0,19,0,0
6653.67,9407.19,0,8,1,0
7775.56,18982.58,0,10,0,0
6672.0,22731.08,0,17,0,0
6944.56,20559.9,1,5,1,1
8217.7,24591.48,1,18,0,0
2227.5,16236.58,1,1,1,1
4747.0,19991.06,1,0,0,1
410.69,1872.85,1,22,1,1
9844.18,25003.11,1,6,1,1
3847.23,18885.95,0,17,0,0
2426.1,10571.47,1,5,1,1
1527.51,6664.23,1,23,0,1
591.06,13382.77,0,4,0,1
5978.16,7139.79,0,3,0,1
5831.41,9581.26,0,20,0,0
6586.71,14280.77,0,15,1,0
4219.36,13442.15,1,2,1,1
1217.2,19319.5,0,10,0,0
924.9,5228.41,1,3,1,1
3222.67,22282.25,0,9,0,0
6458.27,25717.36,1,0,1,1
8365.55,27329.97,0,20,0,0
8214.54,10132.39,0,11,0,0
5986.51,9560.16,0,15,0,0
1611.84,19282.07,0,9,0,0
2253.91,6658.93,1,3,1,1
3240.48,11825.81,0,6,1,1
5404.45,11097.34,0,5,1,1
4986.98,9489.63,1,6,1,1
5600.81,18364.66,1,0,1,1
662.91,14175.39,0,6,0,1
3405.35,8608.96,1,1,1,1
1438.49,13292.18,1,0,1,1
2705.51,9769.27,1,5,1,1
83.96,639.87,0,16,0,0
3930.07,22397.79,0,12,0,0
500.09,19136.86,0,9,0,0
1049.13,13544.37,0,9,0,0
6232.68,25858.12,1,2,1,1
185.75,18321.05,0,19,0,0
4661.32,23877.8,0,23,1,1
8379.2,27270.15,0,9,0,0
7292.78,20138.25,1,6,1,1
4222.99,15281.19,0,5,0,1
9065.31,10984.61,0,22,1,1
5411.58,6600.76,1,6,1,1
5077.28,13141.5,1,0,1,1
9505.81,16318.69,0,23,1,1
3727.95,12635.24,0,22,1,1
7136.36,23257.66,1,2,1,1
399.57,7904.01,1,22,0,1
1431.07,7655.71,1,23,1,1
744.23,11416.98,1,5,1,1
6087.76,17695.01,0,16,0,0
204.16,7517.18,0,13,0,0
4461.75,9829.87,0,18,0,0
7646.08,26469.6,0,23,0,1
5128.51,12105.54,1,2,1,1
9266.61,11474.14,0,2,1,1
8497.98,17195.16,1,3,1,1
6740.9,22055.58,0,13,0,0
6220.95,17122.62,0,16,0,0
9383.99,26802.29,0,13,0,0
4847.69,8540.93,0,12,0,0
5431.53,11407.81,1,23,0,1
